iter	Passed	Remaining
613	35315	22201
614	35371	22143
615	35442	22093
616	35503	22038
617	35558	21979
618	35624	21927
619	35695	21878
620	35767	21829
621	35838	21779
622	35915	21733
623	35983	21682
624	36064	21638
625	36154	21600
626	36216	21545
627	36268	21484
628	36318	21421
629	36375	21363
630	36440	21309
631	36488	21246
632	36537	21183
633	36590	21123
634	36654	21068
635	36711	21011
636	36769	20953
637	36823	20893
638	36885	20838
639	36941	20779
640	36993	20718
641	37070	20671
642	37123	20611
643	37183	20555
644	37236	20494
645	37288	20433
646	37340	20372
647	37388	20309
648	37437	20247
649	37485	20184
650	37545	20127
651	37595	20066
652	37646	20005
653	37703	19946
654	37763	19890
655	37820	19832
656	37876	19774
657	37938	19718
658	37996	19661
659	38051	19602
660	38106	19543
661	38174	19491
662	38223	19429
663	38274	19367
664	38321	19304
665	38370	19242
666	38432	19187
667	38482	19125
668	38532	19064
669	38584	19004
670	38643	18947
671	38700	18889
672	38755	18830
673	38814	18773
674	38873	18716
675	38929	18658
676	38982	18598
677	39043	18542
678	39111	18489
679	39164	18430
680	39214	18369
681	39272	18311
682	39334	18256
683	39384	18195
684	39436	18134
685	39483	18072
686	39546	18017
687	39595	17956
688	39646	17895
689	39711	17841
690	39768	17783
691	39820	17723
692	39873	17663
693	39934	17608
694	39994	17551
695	40048	17492
696	40107	17435
697	40163	17377
698	40217	17318
699	40271	17259
700	40321	17198
701	40370	17137
702	40430	17080
703	40479	17019
704	40530	16959
705	40575	16897
706	40632	16839
707	40683	16779
708	40739	16720
709	40790	16660
710	40854	16606
711	40907	16546
712	40963	16488
713	41025	16433
714	41091	16379
715	41143	16319
716	41194	16259
717	41254	16202
718	41308	16144
719	41358	16083
720	41407	16023
721	41459	15963
722	41517	15906
723	41569	15847
724	41621	15787
725	41671	15727
726	41734	15672
727	41788	15613
728	41839	15553
729	41904	15498
730	41971	15444
731	42029	15388
732	42088	15330
733	42148	15274
734	42204	15216
735	42253	15155
736	42302	15095
737	42371	15042
738	42426	14984
739	42475	14923
740	42526	14864
741	42579	14805
742	42638	14748
743	42691	14689
744	42743	14630
745	42797	14571
746	42862	14516
747	42916	14458
748	42971	14400
749	43034	14344
750	43099	14289
751	43150	14230
752	43199	14170
753	43253	14111
754	43315	14055
755	43365	13996
756	43419	13937
757	43489	13884
758	43545	13826
759	43598	13767
760	43648	13708
761	43705	13650
762	43770	13595
763	43828	13538
764	43883	13480
765	43955	13427
766	44012	13370
767	44065	13311
768	44130	13256
769	44177	13196
770	44242	13140
771	44292	13081
772	44342	13021
773	44404	12965
774	44455	12906
775	44507	12847
776	44565	12790
777	44616	12731
778	44669	12672
779	44726	12615
780	44783	12557
781	44846	12501
782	44898	12443
783	44951	12384
784	45019	12330
785	45083	12274
786	45152	12220
787	45201	12160
788	45261	12104
789	45311	12044
790	45363	11985
791	45409	11925
792	45467	11868
793	45517	11809
794	45567	11750
795	45630	11694
796	45687	11636
797	45740	11578
798	45794	11520
799	45849	11462
800	45912	11406
801	45971	11349
802	46032	11293
803	46099	11238
804	46151	11179
805	46201	11120
806	46250	11061
807	46301	11002
808	46361	10945
809	46411	10886
810	46460	10827
811	46512	10768
812	46572	10712
813	46623	10653
814	46677	10595
815	46736	10538
816	46796	10481
817	46853	10424
818	46911	10367
819	46975	10311
820	47034	10254
821	47093	10197
822	47147	10139
823	47200	10081
824	47255	10023
825	47323	9968
826	47370	9909
827	47422	9851
828	47477	9793
829	47527	9734
830	47582	9676
831	47640	9619
832	47701	9563
833	47771	9508
834	47823	9450
835	47886	9394
836	47940	9336
837	47992	9277
838	48046	9219
839	48113	9164
840	48161	9105
841	48209	9046
842	48259	8987
843	48314	8930
844	48364	8871
845	48412	8812
846	48460	8753
847	48521	8697
848	48575	8639
849	48625	8581
850	48700	8526
851	48759	8470
852	48814	8412
853	48868	8354
854	48929	8297
855	48992	8241
856	49047	8184
857	49104	8126
858	49160	8069
859	49217	8012
860	49267	7953
861	49315	7895
862	49364	7836
863	49421	7779
864	49469	7720
865	49518	7662
866	49570	7604
867	49623	7546
868	49685	7490
869	49738	7432
870	49792	7374
871	49860	7319
872	49921	7262
873	49979	7205
874	50027	7146
875	50094	7091
876	50142	7032
877	50192	6974
878	50240	6915
879	50288	6857
880	50344	6800
881	50389	6741
882	50501	6691
883	50552	6633
884	50600	6575
885	50648	6516
886	50702	6459
887	50761	6402
888	50820	6345
889	50866	6286
890	50942	6232
891	51002	6175
892	51058	6117
893	51123	6061
894	51186	6005
895	51239	5947
896	51283	5888
897	51335	5830
898	51381	5772
899	51442	5715
900	51491	5657
901	51540	5599
902	51605	5543
903	51664	5486
904	51718	5429
905	51790	5373
906	51855	5317
907	51925	5261
908	51977	5203
909	52043	5147
910	52092	5089
911	52143	5031
912	52204	4974
913	52255	4916
914	52317	4860
915	52364	4802
